order_id,order_date,amount,product_id,product_category
1,2022-08-17,1280.32,ELE004,Electronics
2,2022-06-28,304.68,SPO017,Sports
3,2022-02-24,170.09,SPO008,Sports
4,2024-07-08,253.56,SPO006,Sports
5,2024-05-15,28.56,BOO004,Books
6,2022-07-09,69.18,HOM002,Home & Garden
7,2024-07-29,90.31,SPO010,Sports
8,2024-01-11,172.35,SPO010,Sports
9,2022-06-13,257.07,CLO012,Clothing
10,2022-11-30,34.2,BOO003,Books
11,2022-12-17,557.75,SPO018,Sports
12,2023-03-26,60.82,BOO002,Books
13,2023-10-09,174.83,HOM011,Home & Garden
14,2023-03-12,206.45,HOM009,Home & Garden
15,2022-10-13,249.78,CLO014,Clothing
16,2024-03-28,21.53,BOO003,Books
17,2022-04-07,373.17,ELE020,Electronics
18,2022-05-11,205.54,HOM018,Home & Garden
19,2022-01-24,1250.68,ELE011,Electronics
20,2022-08-17,44.43,BOO009,Books
21,2024-10-22,167.69,CLO017,Clothing
22,2023-02-12,143.62,CLO017,Clothing
23,2022-01-02,,SPO012,Sports
24,2023-09-22,37.14,CLO003,Clothing
25,2024-09-22,1664.1,ELE016,Electronics
26,2022-12-05,52.86,BOO018,Books
27,2023-02-16,33.16,BOO017,Books
28,2024-07-13,431.22,ELE018,Electronics
29,2023-04-17,193.62,SPO008,Sports
30,2022-05-19,1545.38,ELE016,Electronics
31,2023-03-15,117.78,SPO016,Sports
32,2023-05-13,341.88,HOM014,Home & Garden
33,2023-12-27,178.57,HOM004,Home & Garden
34,2022-05-05,311.79,HOM007,Home & Garden
35,2023-01-25,332.13,SPO008,Sports
36,2022-06-04,342.25,HOM018,Home & Garden
37,2022-01-31,1608.63,ELE016,Electronics
38,2024-09-12,226.36,CLO001,Clothing
39,2024-03-10,68.09,BOO018,Books
40,2024-09-23,56.91,CLO018,Clothing
41,2022-05-05,9.3,BOO017,Books
42,2022-11-19,1681.79,ELE020,Electronics
43,2022-05-20,133.7,CLO019,Clothing
44,2022-03-23,76.72,SPO011,Sports
45,2023-06-19,186.57,CLO005,Clothing
46,2023-09-07,142.4,HOM015,Home & Garden
47,2022-07-24,936.91,ELE012,Electronics
48,2022-05-21,136.38,CLO010,Clothing
49,2024-12-19,1585.88,ELE004,Electronics
50,2022-10-03,13.95,BOO009,Books
51,2023-08-01,189.63,SPO009,Sports
52,2024-11-01,115.29,HOM014,Home & Garden
53,2023-07-21,60.04,ELE009,Electronics
54,2022-11-27,228.95,HOM003,Home & Garden
55,2022-11-02,39.27,SPO014,Sports
56,2022-09-19,728.23,ELE002,Electronics
57,2024-01-03,197.13,CLO018,Clothing
58,2024-04-12,538.68,SPO006,Sports
59,2022-12-29,29.76,HOM014,Home & Garden
60,2023-05-24,16.14,BOO002,Books
61,2024-08-21,67.56,CLO008,Clothing
62,2023-04-02,1218.66,ELE003,Electronics
63,2023-07-26,63.33,BOO018,Books
64,2023-11-10,239.57,ELE009,Electronics
65,2022-03-20,1352.32,ELE014,Electronics
66,2024-11-13,722.53,ELE014,Electronics
67,2022-01-04,806.26,SPO007,Sports
68,2024-01-16,49.95,HOM011,Home & Garden
69,2022-09-13,40.04,BOO010,Books
70,2022-09-18,144.39,CLO006,Clothing
71,2023-09-09,,HOM010,Home & Garden
72,2023-03-07,368.93,HOM015,Home & Garden
73,2024-06-24,190.24,CLO006,Clothing
74,2022-06-23,40.78,BOO008,Books
75,2023-09-28,200.42,CLO016,Clothing
76,2022-05-30,192.17,HOM013,Home & Garden
77,2024-10-09,109.99,HOM004,Home & Garden
78,2024-05-20,65.6,CLO002,Clothing
79,2023-05-26,1003.12,ELE018,Electronics
80,2023-10-12,314.67,HOM018,Home & Garden
81,2024-07-02,205.08,CLO008,Clothing
82,2023-07-22,383.38,SPO010,Sports
83,2023-04-26,25.12,BOO005,Books
84,2023-04-19,291.55,HOM014,Home & Garden
85,2023-11-09,428.42,SPO013,Sports
86,2022-02-10,,SPO012,Sports
87,2023-09-04,415.74,HOM018,Home & Garden
88,2023-03-28,101.71,HOM011,Home & Garden
89,2024-04-08,303.49,CLO018,Clothing
90,2022-02-25,253.5,HOM014,Home & Garden
91,2022-10-05,99.82,HOM015,Home & Garden
92,2023-11-01,68.35,BOO014,Books
93,2023-06-01,793.83,ELE012,Electronics
94,2023-04-05,1733.41,ELE008,Electronics
95,2023-02-13,1248.26,ELE004,Electronics
96,2023-03-23,308.47,HOM020,Home & Garden
97,2022-08-23,234.93,CLO010,Clothing
98,2024-02-08,489.29,HOM008,Home & Garden
99,2022-07-28,58.35,BOO019,Books
100,2022-03-26,37.2,BOO011,Books
101,2022-01-26,491.16,HOM015,Home & Garden
102,2022-11-10,110.84,HOM020,Home & Garden
103,2024-09-17,207.85,HOM008,Home & Garden
104,2022-06-27,70.12,BOO020,Books
105,2024-02-16,6.24,BOO007,Books
106,2023-12-28,32.98,BOO009,Books
107,2022-01-21,825.78,SPO016,Sports
108,2023-05-08,368.7,HOM003,Home & Garden
109,2023-08-26,138.8,CLO012,Clothing
110,2024-08-27,471.67,SPO011,Sports
111,2023-12-22,127.27,HOM007,Home & Garden
112,2023-10-09,1612.61,ELE007,Electronics
113,2023-03-20,168.62,HOM020,Home & Garden
114,2023-08-03,1580.49,ELE010,Electronics
115,2022-01-29,90.4,SPO010,Sports
116,2022-09-16,,HOM010,Home & Garden
117,2024-08-19,189.9,HOM016,Home & Garden
118,2022-08-22,874.43,ELE002,Electronics
119,2022-11-07,205.33,CLO008,Clothing
120,2022-08-31,685.31,SPO008,Sports
121,2024-12-06,270.28,HOM014,Home & Garden
122,2023-09-18,548.69,SPO007,Sports
123,2023-03-09,47.42,BOO003,Books
124,2022-11-17,836.42,ELE002,Electronics
125,2023-04-20,56.95,BOO008,Books
126,2023-06-26,516.39,SPO018,Sports
127,2023-04-06,226.94,CLO006,Clothing
128,2023-09-22,550.8,SPO004,Sports
129,2024-08-17,57.49,BOO016,Books
130,2024-06-15,1330.26,ELE020,Electronics
131,2023-05-28,258.74,ELE019,Electronics
132,2022-02-12,41.95,BOO017,Books
133,2024-06-24,19.62,BOO016,Books
134,2022-07-06,199.75,HOM006,Home & Garden
135,2023-11-07,415.82,HOM018,Home & Garden
136,2022-03-17,52.7,HOM013,Home & Garden
137,2024-11-19,1286.2,ELE007,Electronics
138,2024-11-27,50.5,BOO002,Books
139,2023-02-21,45.05,BOO016,Books
140,2022-09-06,1744.53,ELE006,Electronics
141,2023-09-29,18.51,SPO004,Sports
142,2024-08-03,1540.27,ELE010,Electronics
143,2024-11-08,35.76,BOO015,Books
144,2022-10-24,122.48,HOM005,Home & Garden
145,2022-05-23,58.92,BOO017,Books
146,2023-07-02,622.45,ELE016,Electronics
147,2022-11-01,284.3,HOM018,Home & Garden
148,2024-02-12,557.73,HOM008,Home & Garden
149,2024-02-24,240.13,CLO016,Clothing
150,2024-02-20,524.5,HOM005,Home & Garden
151,2024-10-11,276.28,ELE004,Electronics
152,2024-06-20,1171.31,ELE014,Electronics
153,2022-11-13,903.16,ELE013,Electronics
154,2022-06-14,65.62,BOO011,Books
155,2024-09-26,40.37,SPO010,Sports
156,2023-04-11,944.19,ELE004,Electronics
157,2024-06-27,174.15,CLO002,Clothing
158,2023-08-24,33.53,BOO019,Books
159,2023-01-04,61.85,CLO008,Clothing
160,2024-10-16,110.95,SPO009,Sports
161,2022-01-20,390.66,HOM015,Home & Garden
162,2023-12-09,265.08,SPO015,Sports
163,2023-09-11,252.65,CLO013,Clothing
164,2024-01-06,197.13,SPO013,Sports
165,2023-07-17,1266.46,ELE002,Electronics
166,2024-10-14,70.81,BOO008,Books
167,2023-01-25,230.25,SPO005,Sports
168,2022-07-18,673.19,ELE005,Electronics
169,2022-07-04,25.97,BOO018,Books
170,2024-01-20,351.88,SPO016,Sports
171,2023-08-28,54.22,BOO008,Books
172,2024-03-24,240.83,SPO018,Sports
173,2022-09-11,178.19,HOM013,Home & Garden
174,2024-01-31,1431.25,ELE018,Electronics
175,2023-11-03,208.83,SPO010,Sports
176,2024-04-16,297.32,ELE016,Electronics
177,2022-08-26,485.24,ELE012,Electronics
178,2024-05-08,576.09,SPO004,Sports
179,2024-09-29,270.28,SPO012,Sports
180,2023-03-21,220.63,HOM012,Home & Garden
181,2024-01-05,701.48,ELE015,Electronics
182,2022-07-07,160.0,CLO011,Clothing
183,2023-05-14,270.86,CLO018,Clothing
184,2023-03-01,168.22,SPO005,Sports
185,2022-01-06,59.11,BOO009,Books
186,2022-12-24,1079.21,ELE008,Electronics
187,2023-10-26,427.47,ELE017,Electronics
188,2022-08-21,983.86,ELE004,Electronics
189,2024-07-14,201.84,SPO017,Sports
190,2023-09-10,394.38,HOM013,Home & Garden
191,2024-05-23,834.39,ELE003,Electronics
192,2023-10-22,133.51,SPO019,Sports
193,2023-10-28,488.21,HOM020,Home & Garden
194,2024-05-31,1695.34,ELE018,Electronics
195,2023-03-17,221.49,HOM015,Home & Garden
196,2024-03-27,342.45,HOM009,Home & Garden
197,2024-02-06,176.29,CLO003,Clothing
198,2022-07-10,74.63,HOM018,Home & Garden
199,2022-05-03,817.81,SPO014,Sports
200,2023-12-26,518.5,HOM020,Home & Garden
201,2023-10-02,11.01,BOO016,Books
202,2023-04-05,619.85,ELE009,Electronics
203,2023-04-09,479.89,HOM020,Home & Garden
204,2022-02-23,674.77,SPO006,Sports
205,2023-07-14,64.67,BOO005,Books
206,2024-03-31,265.33,ELE017,Electronics
207,2023-03-17,210.01,HOM011,Home & Garden
208,2022-06-23,289.74,ELE003,Electronics
209,2023-07-12,329.9,HOM009,Home & Garden
210,2023-03-18,91.25,SPO019,Sports
211,2024-09-23,514.54,SPO020,Sports
212,2022-04-23,496.6,ELE009,Electronics
213,2023-08-16,13.61,BOO005,Books
214,2024-02-18,641.36,SPO012,Sports
215,2022-05-28,350.17,HOM003,Home & Garden
216,2023-10-04,368.71,SPO010,Sports
217,2022-08-24,33.63,HOM020,Home & Garden
218,2024-07-31,10.42,BOO019,Books
219,2024-03-31,79.22,SPO008,Sports
220,2023-11-14,37.22,CLO007,Clothing
221,2023-12-17,67.06,BOO008,Books
222,2022-07-30,75.74,CLO003,Clothing
223,2022-12-29,250.41,HOM019,Home & Garden
224,2023-10-24,15.94,BOO010,Books
225,2023-07-17,50.25,SPO015,Sports
226,2022-03-19,813.54,ELE003,Electronics
227,2024-11-04,270.36,HOM002,Home & Garden
228,2024-07-10,519.83,SPO005,Sports
229,2022-05-07,65.32,HOM003,Home & Garden
230,2024-10-30,31.29,CLO017,Clothing
231,2024-12-06,123.65,SPO014,Sports
232,2023-11-24,47.97,SPO011,Sports
233,2022-07-13,594.78,SPO020,Sports
234,2022-11-04,12.97,BOO010,Books
235,2024-03-13,170.53,CLO013,Clothing
236,2023-11-04,225.66,CLO017,Clothing
237,2022-07-11,,HOM010,Home & Garden
238,2023-01-05,98.55,CLO005,Clothing
239,2022-11-14,628.72,ELE018,Electronics
240,2024-12-14,1404.06,ELE020,Electronics
241,2024-02-11,67.88,CLO006,Clothing
242,2024-06-15,761.81,ELE015,Electronics
243,2023-08-07,156.96,HOM016,Home & Garden
244,2023-02-02,54.55,BOO010,Books
245,2024-02-22,480.78,SPO020,Sports
246,2022-10-11,8.45,BOO004,Books
247,2024-11-22,550.81,ELE017,Electronics
248,2022-10-29,72.13,HOM012,Home & Garden
249,2022-02-24,40.75,HOM003,Home & Garden
250,2024-02-07,26.16,CLO011,Clothing
251,2022-10-27,25.63,CLO005,Clothing
252,2024-08-18,254.69,HOM007,Home & Garden
253,2022-11-03,729.67,SPO010,Sports
254,2023-05-02,14.92,BOO020,Books
255,2024-07-25,276.47,ELE001,Electronics
256,2024-11-21,195.44,SPO020,Sports
257,2023-12-24,189.59,CLO017,Clothing
258,2024-01-09,2127.86,ELE017,Electronics
259,2022-02-11,419.33,HOM012,Home & Garden
260,2023-06-04,669.05,ELE004,Electronics
261,2023-11-12,31.1,CLO006,Clothing
262,2024-08-09,266.75,HOM015,Home & Garden
263,2022-03-17,23.22,BOO011,Books
264,2023-09-28,321.14,SPO002,Sports
265,2023-01-27,36.42,BOO011,Books
266,2023-07-14,1544.38,ELE015,Electronics
267,2024-03-02,77.95,BOO017,Books
268,2023-07-01,1527.96,ELE006,Electronics
269,2023-08-25,11.66,BOO015,Books
270,2024-05-22,172.85,CLO012,Clothing
271,2024-06-09,43.58,BOO013,Books
272,2024-01-15,759.3,SPO005,Sports
273,2024-06-16,313.34,ELE012,Electronics
274,2024-02-24,34.87,SPO012,Sports
275,2024-02-01,390.83,HOM013,Home & Garden
276,2023-10-06,25.96,BOO016,Books
277,2024-11-26,508.93,HOM015,Home & Garden
278,2023-03-16,234.78,SPO004,Sports
279,2022-10-05,911.03,ELE003,Electronics
280,2023-10-17,53.33,BOO010,Books
281,2022-11-19,204.67,CLO007,Clothing
282,2022-10-12,245.45,CLO012,Clothing
283,2024-08-15,92.97,SPO013,Sports
284,2024-09-07,344.55,SPO005,Sports
285,2023-10-12,869.77,ELE018,Electronics
286,2023-01-08,113.7,CLO004,Clothing
287,2024-11-27,119.36,CLO008,Clothing
288,2023-12-10,645.47,SPO018,Sports
289,2023-07-17,161.72,CLO006,Clothing
290,2022-11-12,211.27,CLO019,Clothing
291,2022-03-26,230.98,ELE009,Electronics
292,2023-03-08,338.84,SPO018,Sports
293,2023-08-17,44.27,BOO010,Books
294,2024-07-17,1345.79,ELE015,Electronics
295,2023-02-22,54.91,BOO012,Books
296,2024-03-27,195.28,CLO008,Clothing
297,2024-08-13,479.39,ELE010,Electronics
298,2024-02-26,395.09,SPO011,Sports
299,2023-10-03,233.86,CLO016,Clothing
300,2023-09-24,31.19,HOM008,Home & Garden
301,2023-03-17,288.2,SPO016,Sports
302,2023-08-09,14.05,SPO009,Sports
303,2024-01-20,201.15,HOM007,Home & Garden
304,2024-01-13,233.27,SPO018,Sports
305,2023-07-27,651.56,SPO013,Sports
306,2024-02-04,40.17,BOO020,Books
307,2024-11-08,222.28,HOM011,Home & Garden
308,2024-08-28,373.32,SPO011,Sports
309,2023-10-15,144.4,CLO019,Clothing
310,2023-11-20,719.82,SPO010,Sports
311,2024-08-30,915.78,ELE019,Electronics
312,2023-09-23,1289.53,ELE019,Electronics
313,2023-04-12,1249.18,ELE020,Electronics
314,2024-02-18,256.41,CLO004,Clothing
315,2023-01-26,878.34,ELE007,Electronics
316,2024-04-20,715.02,SPO002,Sports
317,2022-10-10,185.08,SPO017,Sports
318,2024-02-11,77.77,BOO018,Books
319,2023-12-27,45.61,BOO018,Books
320,2023-09-04,314.06,CLO007,Clothing
321,2024-09-28,48.11,BOO009,Books
322,2023-08-13,1353.22,ELE013,Electronics
323,2023-12-08,106.15,CLO012,Clothing
324,2024-06-24,69.06,BOO009,Books
325,2023-07-11,41.32,CLO002,Clothing
326,2024-12-23,189.99,CLO016,Clothing
327,2022-07-25,19.3,CLO014,Clothing
328,2024-09-01,303.98,HOM010,Home & Garden
329,2022-05-02,1448.2,ELE002,Electronics
330,2022-12-25,517.92,HOM013,Home & Garden
331,2024-10-11,329.98,CLO002,Clothing
332,2022-01-19,56.79,BOO010,Books
333,2024-07-19,362.14,SPO017,Sports
334,2024-08-16,16.83,BOO015,Books
335,2023-06-11,17.46,CLO007,Clothing
336,2022-12-26,776.13,SPO017,Sports
337,2023-11-03,991.86,ELE016,Electronics
338,2023-10-25,16.59,CLO009,Clothing
339,2023-11-07,44.04,BOO012,Books
340,2023-04-29,1168.13,ELE017,Electronics
341,2023-09-29,1226.85,ELE008,Electronics
342,2023-03-25,180.86,CLO012,Clothing
343,2024-05-01,819.43,SPO007,Sports
344,2023-05-22,684.87,SPO012,Sports
345,2022-06-09,114.54,SPO007,Sports
346,2022-11-03,91.86,CLO007,Clothing
347,2024-09-28,1482.39,ELE005,Electronics
348,2024-11-17,235.66,HOM010,Home & Garden
349,2022-02-14,,HOM007,Home & Garden
350,2022-05-30,890.64,ELE002,Electronics
351,2022-05-22,39.02,HOM014,Home & Garden
352,2024-02-06,223.77,HOM003,Home & Garden
353,2022-09-30,13.3,BOO005,Books
354,2023-04-02,1501.99,ELE018,Electronics
355,2024-05-18,304.75,SPO005,Sports
356,2023-07-19,238.47,CLO014,Clothing
357,2022-02-02,59.98,CLO020,Clothing
358,2022-04-10,202.03,CLO007,Clothing
359,2022-04-26,178.65,CLO019,Clothing
360,2023-10-16,447.75,SPO010,Sports
361,2022-10-21,152.2,SPO019,Sports
362,2022-12-25,268.96,HOM013,Home & Garden
363,2024-12-10,52.64,BOO006,Books
364,2024-08-27,278.41,CLO015,Clothing
365,2022-04-29,340.05,SPO013,Sports
366,2023-05-13,23.67,BOO012,Books
367,2022-07-09,528.48,SPO020,Sports
368,2022-03-22,454.33,ELE018,Electronics
369,2023-03-21,110.8,HOM001,Home & Garden
370,2023-03-10,346.98,CLO016,Clothing
371,2023-05-12,506.96,SPO011,Sports
372,2023-08-03,225.12,HOM012,Home & Garden
373,2024-11-16,265.36,HOM011,Home & Garden
374,2023-02-21,32.62,BOO005,Books
375,2022-02-03,50.59,BOO010,Books
376,2022-11-09,123.55,CLO016,Clothing
377,2023-11-23,67.82,BOO016,Books
378,2024-08-01,191.6,CLO018,Clothing
379,2024-09-27,291.99,CLO002,Clothing
380,2024-12-09,1900.66,ELE002,Electronics
381,2022-01-14,71.13,HOM005,Home & Garden
382,2022-01-19,166.63,CLO020,Clothing
383,2024-09-16,26.57,HOM001,Home & Garden
384,2024-12-20,45.22,BOO014,Books
385,2023-01-03,1649.53,ELE020,Electronics
386,2024-12-14,63.41,BOO012,Books
387,2024-04-11,259.27,HOM003,Home & Garden
388,2022-03-06,832.23,ELE001,Electronics
389,2022-12-17,1141.29,ELE019,Electronics
390,2022-07-15,854.29,SPO019,Sports
391,2024-08-31,9.94,BOO018,Books
392,2022-03-09,331.33,CLO019,Clothing
393,2022-10-23,477.78,HOM019,Home & Garden
394,2024-03-07,232.88,SPO003,Sports
395,2024-10-22,10.25,BOO011,Books
396,2024-03-23,8.64,BOO016,Books
397,2023-04-13,40.64,BOO019,Books
398,2024-02-18,1397.94,ELE003,Electronics
399,2022-06-18,17.45,BOO013,Books
400,2023-10-11,,BOO010,Books
401,2024-06-29,51.85,BOO014,Books
402,2024-07-08,363.3,SPO012,Sports
403,2022-07-10,460.31,SPO010,Sports
404,2024-04-27,403.38,HOM008,Home & Garden
405,2024-12-03,190.88,CLO009,Clothing
406,2024-10-06,31.99,CLO016,Clothing
407,2022-06-07,25.07,BOO020,Books
408,2023-02-05,84.16,HOM011,Home & Garden
409,2024-02-18,42.94,BOO020,Books
410,2022-10-06,25.57,BOO011,Books
411,2022-12-30,522.81,HOM016,Home & Garden
412,2023-05-12,31.78,BOO004,Books
413,2023-02-14,883.25,SPO001,Sports
414,2024-08-03,150.76,CLO014,Clothing
415,2024-10-19,207.91,CLO014,Clothing
416,2024-02-12,956.13,ELE018,Electronics
417,2024-11-03,265.16,HOM018,Home & Garden
418,2022-06-24,1459.6,ELE020,Electronics
419,2022-04-01,755.45,SPO011,Sports
420,2024-05-31,70.87,ELE017,Electronics
421,2023-03-29,213.91,HOM017,Home & Garden
422,2022-11-05,73.3,BOO003,Books
423,2022-08-26,127.27,CLO017,Clothing
424,2024-09-16,43.92,BOO011,Books
425,2022-05-18,6.76,BOO011,Books
426,2022-08-12,281.82,CLO018,Clothing
427,2022-11-24,41.95,BOO013,Books
428,2023-01-13,160.34,CLO020,Clothing
429,2023-02-09,329.17,HOM007,Home & Garden
430,2023-07-25,1193.18,ELE012,Electronics
431,2023-10-30,166.49,CLO017,Clothing
432,2023-10-04,268.11,SPO012,Sports
433,2024-07-26,163.89,SPO020,Sports
434,2022-06-23,88.28,CLO012,Clothing
435,2022-10-17,326.37,SPO014,Sports
436,2023-01-16,343.93,HOM006,Home & Garden
437,2022-12-08,180.34,HOM020,Home & Garden
438,2022-04-20,67.07,BOO013,Books
439,2024-11-01,234.57,HOM015,Home & Garden
440,2024-09-27,42.59,CLO010,Clothing
441,2022-03-08,24.32,BOO019,Books
442,2024-10-11,375.14,SPO018,Sports
443,2024-01-22,717.66,SPO018,Sports
444,2023-03-24,76.11,HOM010,Home & Garden
445,2022-03-08,122.01,HOM004,Home & Garden
446,2023-05-01,231.35,CLO020,Clothing
447,2024-05-26,214.51,CLO002,Clothing
448,2023-12-20,215.69,SPO010,Sports
449,2023-08-16,264.16,SPO004,Sports
450,2022-10-05,528.69,HOM005,Home & Garden
451,2022-09-29,50.96,CLO013,Clothing
452,2024-09-29,173.41,CLO015,Clothing
453,2022-06-04,900.63,ELE012,Electronics
454,2024-07-20,,HOM003,Home & Garden
455,2024-07-27,65.94,BOO014,Books
456,2023-03-10,139.23,HOM019,Home & Garden
457,2022-09-25,791.16,SPO002,Sports
458,2022-04-05,1025.12,ELE006,Electronics
459,2024-06-22,17.9,HOM005,Home & Garden
460,2023-09-11,221.23,CLO012,Clothing
461,2023-05-28,671.4,ELE013,Electronics
462,2023-09-18,115.09,CLO007,Clothing
463,2024-09-03,330.99,ELE001,Electronics
464,2022-01-17,64.22,BOO005,Books
465,2024-09-05,557.2,ELE004,Electronics
466,2023-10-04,78.85,BOO005,Books
467,2022-10-20,,ELE006,Electronics
468,2024-06-20,50.93,BOO014,Books
469,2024-06-25,43.72,CLO019,Clothing
470,2024-02-26,66.12,BOO009,Books
471,2022-06-22,180.15,CLO001,Clothing
472,2023-09-10,178.67,CLO010,Clothing
473,2022-04-22,156.02,CLO020,Clothing
474,2022-05-26,,SPO012,Sports
475,2023-10-11,121.28,CLO018,Clothing
476,2022-12-20,385.7,HOM003,Home & Garden
477,2022-01-29,24.98,BOO013,Books
478,2024-11-03,50.38,BOO013,Books
479,2022-06-18,362.34,SPO003,Sports
480,2024-11-13,272.4,CLO019,Clothing
481,2022-05-16,65.36,BOO002,Books
482,2023-05-16,1936.26,ELE002,Electronics
483,2023-09-26,52.99,CLO006,Clothing
484,2024-10-13,48.13,BOO006,Books
485,2024-02-01,249.99,CLO004,Clothing
486,2022-03-02,54.1,BOO019,Books
487,2022-06-07,238.46,HOM019,Home & Garden
488,2022-12-08,19.45,BOO004,Books
489,2023-04-13,9.68,SPO002,Sports
490,2024-08-24,39.54,BOO002,Books
491,2024-05-08,116.12,CLO009,Clothing
492,2022-06-09,353.48,SPO006,Sports
493,2023-04-03,649.91,SPO015,Sports
494,2023-08-02,23.73,BOO007,Books
495,2023-08-21,564.92,SPO012,Sports
496,2024-10-07,250.24,CLO005,Clothing
497,2022-01-14,33.19,HOM001,Home & Garden
498,2023-11-18,1675.61,ELE010,Electronics
499,2022-08-01,165.47,CLO002,Clothing
500,2022-10-19,13.88,BOO017,Books
501,2024-04-25,40.66,BOO017,Books
502,2022-10-01,54.46,HOM005,Home & Garden
503,2023-04-30,27.53,BOO011,Books
504,2023-10-14,132.64,HOM019,Home & Garden
505,2022-08-12,41.76,CLO004,Clothing
506,2024-01-04,164.07,CLO003,Clothing
507,2022-11-19,54.66,BOO011,Books
508,2022-10-31,1377.13,ELE002,Electronics
509,2023-09-05,78.53,BOO015,Books
510,2023-05-27,813.96,ELE001,Electronics
511,2022-05-07,49.58,CLO003,Clothing
512,2023-06-15,107.4,ELE015,Electronics
513,2022-09-21,1692.61,ELE002,Electronics
